date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:38:50	38688/38688	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Oct%202018%2022:38:50%20GMT	https://www.weezbe.com/blog/nouvelle-extension-weestore-choix-dune-date/linkid.js	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/nouvelle-extension-weestore-choix-dune-date/linkid.js	(from https://www.weezbe.com/blog/nouvelle-extension-weestore-choix-dune-date/)
00:38:51	938/938	---M-Z	200	added ('OK')	application/rss+xml	etag:%2271c25707ab27be329d6846b5cf113d3e%22	https://www.weezbe.com/blog/nouvelle-extension-weestore-choix-dune-date/feed/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/nouvelle-extension-weestore-choix-dune-date/feed/index.html	(from https://www.weezbe.com/blog/nouvelle-extension-weestore-choix-dune-date/)
00:38:51	2411/2411	---MCZ	200	added ('OK')	application/json	date:Mon,%2022%20Oct%202018%2022:38:52%20GMT	https://www.weezbe.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.weezbe.com%2Fblog%2Fnouvelle-extension-weestore-choix-dune-date%2F	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-json/oembed/1.0/embed400e.json	(from https://www.weezbe.com/blog/nouvelle-extension-weestore-choix-dune-date/)
00:38:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Oct%202018%2022:38:52%20GMT	https://www.weezbe.com/?p=5000	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/index9103.html	(from https://www.weezbe.com/blog/nouvelle-extension-weestore-choix-dune-date/)
00:38:51	2503/2503	---MCZ	200	added ('OK')	text/xml	date:Mon,%2022%20Oct%202018%2022:38:52%20GMT	https://www.weezbe.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.weezbe.com%2Fblog%2Fnouvelle-extension-weestore-choix-dune-date%2F&format=xml	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-json/oembed/1.0/embedfed8	(from https://www.weezbe.com/blog/nouvelle-extension-weestore-choix-dune-date/)
00:38:52	7472/7472	---M--	200	added ('OK')	image/png	etag:%225acc89f6-1d30%22	https://www.weezbe.com/wp-content/uploads/logo-iadvize.png	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-content/uploads/logo-iadvize.png	(from https://www.weezbe.com/blog/iadvize/)
00:38:52	847/847	---M-Z	200	added ('OK')	application/rss+xml	etag:%2271c25707ab27be329d6846b5cf113d3e%22	https://www.weezbe.com/blog/iadvize/feed/	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/iadvize/feed/index.html	(from https://www.weezbe.com/blog/iadvize/)
00:38:53	38688/38688	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Oct%202018%2022:38:53%20GMT	https://www.weezbe.com/blog/iadvize/linkid.js	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/blog/iadvize/linkid.js	(from https://www.weezbe.com/blog/iadvize/)
00:38:54	2288/2288	---MCZ	200	added ('OK')	application/json	date:Mon,%2022%20Oct%202018%2022:38:54%20GMT	https://www.weezbe.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.weezbe.com%2Fblog%2Fiadvize%2F	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/wp-json/oembed/1.0/embed4ab2.json	(from https://www.weezbe.com/blog/iadvize/)
00:38:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Oct%202018%2022:38:54%20GMT	https://www.weezbe.com/?p=3646	C:/Users/camara/Desktop/laby/ecommerce/www.weezbe.com/index3234.html	(from https://www.weezbe.com/blog/iadvize/)
